q3_storeroomReplenishRate,Location,Date,Lat,Alt,Lng,SurveyID,TripID,TotalCount,FemaleCount,MaleCount,Speed,Username,q0a_shopID,q0b_surveyConsent,q1_workerCount,q2_storeroomSize,q4_deliveryCount,q5_timeCheck,q6_deliverOrPickup,q7_DELmanufactOrExclDist,q8_DELsupplierReplenishRate,q9_DELlastReplenish,q10a_DELlastReplenishSize,q11_DELtimeOfArrival,q12_DELgoodsArrivalTime1,q13_DELerpPrice,q14_PUPmanufactOrExclDist,q15_PUPsupplierReplenishRate,q16_PUPlastReplenish,q17_PUPlastReplenishSize,q18_PUPvehicleType,q19_PUPerpPrice,q16_1a_companyDelivery1,q16_1b_companyDelivery1,q16_2a_companyDelivery1,q16_2b_companyDelivery1,q16_3a_companyDelivery1,q16_3b_companyDelivery1,q16_4a_companyDelivery1,q16_4b_companyDelivery1,q16_5a_companyDelivery1,q16_5b_companyDelivery1,q16_6a_companyDelivery1,q16_6b_companyDelivery1,q16_7a_companyDelivery1,q16_7b_companyDelivery1,q16_8a_companyDelivery1,q16_8b_companyDelivery1,q16_9a_companyDelivery1,q16_9b_companyDelivery1,q16_10a_companyDelivery1,q16_10b_companyDelivery1,eq1_establishmentName,eq2_postCode,eq3_storeLocation,eq4_visibleArea,eq5_retailChain,eq6a_weekdayHoursOpen,eq6b_establishmentIndustry,eq7_weekdayHoursClose,eq8a_relativeAmountSales,eq8b_relativeAmountSales,eq8c_relativeAmountSales,eq8d_relativeAmountSales,eq8e_relativeAmountSales,eq8f_relativeAmountSales,eq8g_relativeAmountSales,eq8h_relativeAmountSales,eq8i_relativeAmountSales,q20_1a_companyDelivery1,q20_1b_companyDelivery1,q20_2a_companyDelivery1,q20_2b_companyDelivery1,q20_3a_companyDelivery1,q20_3b_companyDelivery1,q20_4a_companyDelivery1,q20_4b_companyDelivery1,q20_5a_companyDelivery1,q20_5b_companyDelivery1,q20_6a_companyDelivery1,q20_6b_companyDelivery1,q20_7a_companyDelivery1,q20_7b_companyDelivery1,q20_8a_companyDelivery1,q20_8b_companyDelivery1,q20_9a_companyDelivery1,q20_9b_companyDelivery1,q20_10a_companyDelivery1,q20_10b_companyDelivery1,** q5_timeCheck,q20,eq6b_weekdayHoursClose,eq7_establishmentIndustry
2,"<Point><coordinates>103.8543571,1.3058399,0.0</coordinates></Point>",2014-07-14 12:03:17,1.3058399,0.0,103.8543571,S5468522,,0,0,0,0.0,saraheleanormao@gmail.com,4912,Yes,20,50 m2 - 100 m2,10,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",50x50x50cm,3:00PM to 5:00 PM,We negotiate the delivery time together. 我们有商量最适当的送货时间。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,Chettynad Curry Palace,207406,Street/street houses,50 m2 - 100 m2,No,0530,,,,,,,,,,0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,,
5,"<Point><coordinates>103.8575247,1.3091295,0.0</coordinates></Point>",2014-07-14 12:43:32,1.3091295,0.0,103.8575247,S2531278,,0,0,0,,yinjin26@gmail.com,14742,Yes,3,Less than 10 m2,2,"Odd (Sidebar, Mod1)","We picked it up from the source. 我们去拿货送回店里 (Sidebar, PICK)",,,,,,,,From our corporate warehouse/ office. 我们公司自己的货仓,Once a day. 一天一次,"(Cooked, Prepared food)",100x100x100m,Van,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,le cafe,,Street/street houses,10 m2 - 25 m2,Yes,1100,,,3 (Most),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,1500,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
6,"<Point><coordinates>103.85223,1.3066324,0.0</coordinates></Point>",2014-07-14 12:47:00,1.3066324,0.0,103.85223,S7851174,,0,0,0,0.0,haokaishi520@gmail.com,52222,Yes,4,50 m2 - 100 m2,20,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",200x100x100m,11:00PM to 1:00 PM,The other party. 出货的人决定。,No. 否,,,,,,,,,,,,,,,,,,,,,,,,,,,Khan Mohamed Bhoy & Sons,209731,Street/street houses,25 m2 - 50 m2,No,0730,,,0 (None),0 (None),3 (Most),1 (Least),1 (Least),0 (None),0 (None),0 (None),1 (Least),,,,,,,,,,,,,,,,,,,,,,,1930,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
18,"<Point><coordinates>103.8508464,1.3053549,0.0</coordinates></Point>",2014-07-14 12:59:04,1.3053549,0.0,103.8508464,S6676322,,0,0,0,0.0,hhhdasdl@gmail.com,99994,Yes,25,Less than 10 m2,10,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a day. 一天一次,"(Fresh food (e.g. Vegetable, meat))",Once a day. 一天一次,"(Frozen food (e.g. Frozen meat, cake))",Once a day. 一天一次,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8508464,1.3053549,0.0</coordinates></Point>",2014-07-14 12:38:27,1.3053549,0.0,103.8508464,S8117105,,0,0,0,0.0,hhhdasdl@gmail.com,99996,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8532592,1.3087507,0.0</coordinates></Point>",2014-07-14 13:13:02,1.3087507,0.0,103.8532592,S7614814,,0,0,0,0.0,haokaishi520@gmail.com,58888,Yes,6,25 m2 - 50 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Street/street houses,50 m2 - 100 m2,No,0900,,,0 (None),1 (Least),3 (Most),,0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2400,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
14,"<Point><coordinates>103.8540911,1.3057361,0.0</coordinates></Point>",2014-07-14 14:42:08,1.3057361,0.0,103.8540911,S1466091,,0,0,0,,yinjin26@gmail.com,14066,Yes,20,There is no storage space.,"1 (Sidebar, Mod1)",,"We picked it up from the source. 我们去拿货送回店里 (Sidebar, PICK)",,,,,,,,From our corporate warehouse/ office. 我们公司自己的货仓,Multiple times a day. 一天几次,"(Fresh food (e.g. Vegetable, meat),Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",25x25x25cm,"Did not use vehicle, walked. 走",Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,komala villa restaurant,217987,Street/street houses,100 m2 – 200 m2,Yes,0700,,,3 (Most),0 (None),1 (Least),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2230,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
,"<Point><coordinates>103.8548083,1.3087654,0.0</coordinates></Point>",2014-07-14 14:44:43,1.3087654,0.0,103.8548083,S6440207,,0,0,0,0.0,hhhdasdl@gmail.com,8063,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"<Point><coordinates>103.8543547,1.3089061,0.0</coordinates></Point>",2014-07-14 15:01:59,1.3089061,0.0,103.8543547,S8151165,,0,0,0,0.0,hhhdasdl@gmail.com,99992,Yes,15,10 m2 - 25 m2,6,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,khana basmati,207961,Street/street houses,,Yes,0011,,,3 (Most),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple days a week. 一个星期几次,"(Frozen food (e.g. Frozen meat, cake))",Multiple days a week. 一个星期几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,"(Packaging materials, e.g. plastic boxes and bags)",Once a day. 一天一次,,,,,,,,,,,,,,,0000,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
,"<Point><coordinates>103.8563312,1.3087186,0.0</coordinates></Point>",2014-07-14 15:22:37,1.3087186,0.0,103.8563312,S7575062,,0,0,0,,yinjin26@gmail.com,799996,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
